facings_familiar,facings_number,facings_researcher,facings_data,facings_software,facings_systems,facings_strategy,facings_other,facings_researcher_majority,facings_data_majority,facings_software_majority,facings_systems_majority,facings_strategy_majority
No,4,20,40,0,0,20,20,FALSE,FALSE,FALSE,FALSE,FALSE
No,5,10,50,5,5,30,0,FALSE,TRUE,FALSE,FALSE,FALSE
No,3,0,15,15,70,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
Yes,6,10,10,5,60,10,5,FALSE,FALSE,FALSE,TRUE,FALSE
Sort of,6,25,30,0,15,15,15,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,20,0,10,20,50,0,FALSE,FALSE,FALSE,FALSE,TRUE
No,4,30,0,35,25,0,10,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,20,20,55,0,5,0,FALSE,FALSE,TRUE,FALSE,FALSE
No,3,50,10,0,0,40,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,4,40,30,20,10,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,5,20,30,10,10,30,0,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,5,20,20,20,20,20,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,55,0,30,10,10,0,TRUE,FALSE,FALSE,FALSE,FALSE
Sort of,3,0,0,10,85,0,5,FALSE,FALSE,FALSE,TRUE,FALSE
Yes,3,5,0,0,70,25,0,FALSE,FALSE,FALSE,TRUE,FALSE
Sort of,3,40,0,50,10,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
No,4,30,50,10,0,10,0,FALSE,TRUE,FALSE,FALSE,FALSE
No,1,0,0,0,100,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
No,4,75,0,15,5,0,5,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,2,0,0,0,0,80,20,FALSE,FALSE,FALSE,FALSE,TRUE
Yes,3,40,20,40,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,3,75,15,0,0,10,0,TRUE,FALSE,FALSE,FALSE,FALSE
Sort of,4,0,20,25,40,0,15,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,2,95,5,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,3,0,5,30,70,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
Yes,4,30,20,10,0,40,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,6,10,10,10,10,55,5,FALSE,FALSE,FALSE,FALSE,TRUE
No,6,30,20,25,10,5,10,FALSE,FALSE,FALSE,FALSE,FALSE
No,5,10,55,25,10,5,0,FALSE,TRUE,FALSE,FALSE,FALSE
No,4,30,20,40,0,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,5,10,10,10,10,60,0,FALSE,FALSE,FALSE,FALSE,TRUE
No,3,10,20,70,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
No,4,40,10,40,10,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,5,20,25,10,25,20,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,5,30,15,30,10,15,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,3,0,0,30,50,0,20,FALSE,FALSE,FALSE,TRUE,FALSE
Yes,3,0,0,10,80,10,0,FALSE,FALSE,FALSE,TRUE,FALSE
Yes,5,10,30,45,10,5,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,3,40,50,0,0,10,0,FALSE,TRUE,FALSE,FALSE,FALSE
No,5,50,5,10,30,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
Sort of,5,50,10,10,20,10,0,TRUE,FALSE,FALSE,FALSE,FALSE
Sort of,3,70,10,20,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,3,40,0,0,0,30,30,FALSE,FALSE,FALSE,FALSE,FALSE
No,1,0,100,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
No,4,10,20,60,10,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
No,5,10,60,15,10,5,0,FALSE,TRUE,FALSE,FALSE,FALSE
Yes,3,50,20,0,0,30,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,4,40,0,0,15,15,30,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,5,20,10,25,35,0,10,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,4,15,40,40,5,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,3,0,0,50,20,30,0,FALSE,FALSE,TRUE,FALSE,FALSE
Yes,4,25,0,15,0,20,40,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,4,50,10,0,10,30,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,5,20,30,10,35,5,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,5,15,50,20,10,5,0,FALSE,TRUE,FALSE,FALSE,FALSE
Yes,4,50,10,30,0,10,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,5,15,10,0,35,40,5,FALSE,FALSE,FALSE,FALSE,FALSE
No,3,30,50,0,0,20,0,FALSE,TRUE,FALSE,FALSE,FALSE
Yes,4,20,20,0,0,50,10,FALSE,FALSE,FALSE,FALSE,TRUE
Yes,3,20,10,0,0,70,0,FALSE,FALSE,FALSE,FALSE,TRUE
Yes,4,40,20,20,0,20,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,6,30,10,10,30,15,5,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,3,5,0,90,0,5,0,FALSE,FALSE,TRUE,FALSE,FALSE
No,3,0,0,70,20,10,0,FALSE,FALSE,TRUE,FALSE,FALSE
Yes,5,50,20,10,10,10,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,4,20,10,0,10,60,0,FALSE,FALSE,FALSE,FALSE,TRUE
Yes,4,55,5,35,0,5,0,TRUE,FALSE,FALSE,FALSE,FALSE
Sort of,3,10,0,0,10,80,0,FALSE,FALSE,FALSE,FALSE,TRUE
Sort of,1,0,0,0,100,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
No,4,20,25,10,40,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,5,20,25,50,5,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
No,2,50,0,50,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE
No,5,30,30,0,30,5,5,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,35,20,35,10,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sort of,3,0,0,0,85,5,10,FALSE,FALSE,FALSE,TRUE,FALSE
Yes,5,20,10,5,5,60,0,FALSE,FALSE,FALSE,FALSE,TRUE
No,4,30,50,10,10,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
Sort of,5,30,25,25,10,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,4,20,0,20,30,30,0,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,4,25,0,15,15,45,0,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,5,40,10,15,30,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,2,50,0,50,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE
Yes,1,0,0,0,0,100,0,FALSE,FALSE,FALSE,FALSE,TRUE
No,5,20,20,25,25,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,3,20,60,20,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
Sort of,6,30,10,20,10,10,10,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,4,40,20,30,0,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,10,0,40,20,30,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,15,30,50,5,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
Yes,5,30,5,10,10,45,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,6,70,0,20,5,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,3,10,80,10,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
Yes,5,50,10,20,10,10,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,2,60,40,0,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
Sort of,3,50,45,0,0,5,0,TRUE,FALSE,FALSE,FALSE,FALSE
NA,6,35,10,30,5,15,5,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,5,60,30,0,5,0,FALSE,TRUE,FALSE,FALSE,FALSE
Sort of,1,0,0,0,100,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
No,4,15,20,0,50,15,0,FALSE,FALSE,FALSE,TRUE,FALSE
Sort of,4,10,20,0,0,50,20,FALSE,FALSE,FALSE,FALSE,TRUE
Yes,3,70,10,20,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
Sort of,4,85,0,5,5,5,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,5,20,20,20,20,20,0,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,5,30,20,30,0,10,15,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,2,40,0,0,0,0,60,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,5,20,20,20,20,20,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,4,10,10,0,0,60,20,FALSE,FALSE,FALSE,FALSE,TRUE
Yes,6,15,15,25,20,15,10,FALSE,FALSE,FALSE,FALSE,FALSE
No,3,40,30,30,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,2,90,0,10,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
Sort of,6,35,5,35,10,5,5,FALSE,FALSE,FALSE,FALSE,FALSE
No,5,15,20,20,20,30,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,3,10,0,80,0,10,0,FALSE,FALSE,TRUE,FALSE,FALSE
No,4,25,0,15,30,30,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,5,60,20,5,5,5,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,3,40,0,40,20,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,10,30,50,0,10,0,FALSE,FALSE,TRUE,FALSE,FALSE
Yes,3,30,0,35,35,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,4,35,0,30,25,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,3,30,0,0,0,50,20,FALSE,FALSE,FALSE,FALSE,TRUE
No,4,0,25,20,50,5,0,FALSE,FALSE,FALSE,TRUE,FALSE
Sort of,5,10,20,0,20,30,20,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,6,40,10,10,20,10,10,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,3,10,0,10,80,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
Yes,2,0,0,50,50,0,0,FALSE,FALSE,TRUE,TRUE,FALSE
Yes,3,70,20,0,0,10,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,5,30,40,10,5,15,0,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,3,0,0,30,40,30,0,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,2,20,80,0,0,0,0,FALSE,TRUE,FALSE,FALSE,FALSE
Yes,6,30,15,10,10,20,15,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,3,5,0,0,10,85,0,FALSE,FALSE,FALSE,FALSE,TRUE
No,5,30,30,10,10,20,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,2,75,0,25,0,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,3,40,0,50,0,10,0,FALSE,FALSE,TRUE,FALSE,FALSE
No,3,70,0,20,10,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
Sort of,3,10,0,0,50,40,0,FALSE,FALSE,FALSE,TRUE,FALSE
Yes,3,10,0,0,0,5,85,FALSE,FALSE,FALSE,FALSE,FALSE
No,5,10,0,40,30,10,10,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,55,30,0,10,5,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,6,50,10,10,10,10,10,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,6,40,20,20,10,5,5,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,5,30,25,35,5,5,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,5,40,30,15,5,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,10,10,60,20,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
Yes,3,50,0,40,0,0,10,TRUE,FALSE,FALSE,FALSE,FALSE
No,6,5,5,10,75,5,0,FALSE,FALSE,FALSE,TRUE,FALSE
Sort of,5,15,5,30,40,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
NA,3,50,50,5,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,2,0,0,50,50,0,0,FALSE,FALSE,TRUE,TRUE,FALSE
Sort of,5,40,20,20,0,10,10,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,85,5,5,0,5,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,2,50,50,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE
Sort of,2,50,0,0,10,0,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,5,20,30,10,20,25,0,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sort of,5,20,50,20,0,10,0,FALSE,TRUE,FALSE,FALSE,FALSE
Yes,3,10,0,45,45,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,3,0,20,25,55,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
No,1,0,0,100,0,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
No,5,25,35,25,5,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,20,20,50,10,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
Yes,2,50,0,0,0,50,0,TRUE,FALSE,FALSE,FALSE,TRUE
Yes,2,50,50,0,0,0,0,TRUE,TRUE,FALSE,FALSE,FALSE
Yes,4,10,10,0,40,40,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,6,15,35,15,10,15,10,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,4,30,20,0,15,35,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,40,40,10,10,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,25,0,50,15,10,0,FALSE,FALSE,TRUE,FALSE,FALSE
Yes,5,5,5,5,75,10,0,FALSE,FALSE,FALSE,TRUE,FALSE
Yes,5,10,10,10,60,10,0,FALSE,FALSE,FALSE,TRUE,FALSE
No,5,50,15,15,10,15,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,5,10,30,30,0,15,15,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,30,30,0,30,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,5,5,25,60,10,5,0,FALSE,FALSE,TRUE,FALSE,FALSE
Yes,5,10,10,10,10,60,0,FALSE,FALSE,FALSE,FALSE,TRUE
Sort of,5,20,15,10,25,30,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,5,20,10,60,5,5,0,FALSE,FALSE,TRUE,FALSE,FALSE
Yes,5,50,10,10,10,20,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,4,45,25,30,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,5,15,5,20,35,30,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,5,5,5,10,55,25,0,FALSE,FALSE,FALSE,TRUE,FALSE
No,2,50,0,0,0,50,0,TRUE,FALSE,FALSE,FALSE,TRUE
Sort of,3,0,0,5,20,75,0,FALSE,FALSE,FALSE,FALSE,TRUE
Sort of,4,10,30,0,30,30,0,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,3,80,10,0,0,10,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,3,0,35,0,35,35,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,3,0,0,75,15,10,0,FALSE,FALSE,TRUE,FALSE,FALSE
Yes,2,0,0,15,0,85,0,FALSE,FALSE,FALSE,FALSE,TRUE
No,4,0,30,20,30,20,0,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,5,20,30,10,30,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
Sort of,4,0,25,25,30,0,20,FALSE,FALSE,FALSE,FALSE,FALSE
No,2,0,35,0,65,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
Yes,6,40,20,10,20,5,5,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,5,40,20,20,10,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,4,45,20,15,0,20,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,3,10,0,0,10,80,0,FALSE,FALSE,FALSE,FALSE,TRUE
No,5,15,25,15,20,30,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,2,0,0,20,80,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
Sort of,4,10,30,55,5,0,0,FALSE,FALSE,TRUE,FALSE,FALSE
Yes,4,20,15,15,0,50,0,FALSE,FALSE,FALSE,FALSE,TRUE
Yes,6,40,25,5,10,10,10,FALSE,FALSE,FALSE,FALSE,FALSE
No,3,0,20,20,60,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
Sort of,3,0,15,0,25,0,65,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,5,25,20,40,10,5,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,2,70,0,0,0,30,0,TRUE,FALSE,FALSE,FALSE,FALSE
Yes,5,35,10,10,35,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,3,30,0,10,60,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
No,5,35,25,15,15,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
No,1,0,0,0,100,0,0,FALSE,FALSE,FALSE,TRUE,FALSE
Sort of,5,20,10,20,40,10,0,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,4,50,25,10,0,15,0,TRUE,FALSE,FALSE,FALSE,FALSE
No,6,25,15,25,25,10,5,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,6,40,10,35,5,5,5,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,6,25,15,20,20,15,5,FALSE,FALSE,FALSE,FALSE,FALSE
Yes,6,20,10,20,20,20,10,FALSE,FALSE,FALSE,FALSE,FALSE
